Time,Object1Height,Object2Height,Object3Height
2.229646,1.775129,0.001,0.2197676
2.232351,1.775277,0.001,0.2186897
2.235064,1.775424,0.001,0.2176118
2.237616,1.775567,0.001,0.2165547
2.240239,1.775698,0.001,0.215583
2.243047,1.775828,0.001,0.2146064
2.24565,1.775963,0.001,0.213586
2.248336,1.776084,0.001,0.2126628
2.250988,1.776206,0.001,0.2117335
2.257527,1.776322,0.001,0.2108381
2.26046,1.776595,0.001,0.2087252
2.263225,1.77671,0.001,0.2078202
2.265932,1.776816,0.001,0.2069909
2.268632,1.776916,0.001,0.2062005
2.271237,1.777013,0.001,0.2054335
2.273928,1.777103,0.001,0.2047134
2.276615,1.777194,0.001,0.2039892
2.279273,1.777281,0.001,0.2032861
2.281955,1.777365,0.001,0.2026098
2.284745,1.777448,0.001,0.2019464
2.287436,1.777531,0.001,0.2012759
2.290058,1.777608,0.001,0.2006478
2.292784,1.777681,0.001,0.2000532
2.295443,1.777755,0.001,0.1994525
2.298199,1.777825,0.001,0.1988834
2.300888,1.777894,0.001,0.1983111
2.30367,1.777961,0.001,0.197769
2.306267,1.778027,0.001,0.1972249
2.3094,1.778087,0.001,0.1967319
2.312049,1.778157,0.001,0.1961561
2.314733,1.778214,0.001,0.1956847
2.317354,1.77827,0.001,0.1952214
2.320043,1.778323,0.001,0.1947821
2.322943,1.778376,0.001,0.1943451
2.32598,1.778431,0.001,0.1938885
2.328612,1.778486,0.001,0.1934262
2.331746,1.778533,0.001,0.1930385
2.334776,1.778587,0.001,0.1925919
2.337414,1.778637,0.001,0.1921754
2.340134,1.778679,0.001,0.1918245
2.342955,1.778721,0.001,0.1914738
2.345761,1.778763,0.001,0.1911216
2.34856,1.778804,0.001,0.1907827
2.351464,1.778843,0.001,0.1904556
2.354041,1.778883,0.001,0.1901273
2.356748,1.778916,0.001,0.1898455
2.359472,1.778951,0.001,0.1895583
2.362015,1.778984,0.001,0.1892786
2.364891,1.779015,0.001,0.1890256
2.367717,1.779048,0.001,0.1887484
2.370325,1.77908,0.001,0.1884852
2.372929,1.779108,0.001,0.1882501
2.375654,1.779135,0.001,0.1880225
2.378345,1.779163,0.001,0.1877919
2.380999,1.779189,0.001,0.1875713
2.383728,1.779215,0.001,0.1873607
2.3864,1.77924,0.001,0.1871511
2.389046,1.779264,0.001,0.1869524
2.39151,1.779287,0.001,0.1867617
2.394144,1.779307,0.001,0.1865898
2.396823,1.779329,0.001,0.1864115
2.399564,1.77935,0.001,0.1862358
